2024-12-03 19:53:11.263 [info] Extension host with pid 22278 started
2024-12-03 19:53:11.263 [info] Skipping acquiring lock for /home/a7z1lu7h/.config/Code/User/workspaceStorage/96d6a15039176e936027bc3c565885ae.
2024-12-03 19:53:11.299 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-12-03 19:53:11.303 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2024-12-03 19:53:11.348 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-12-03 19:53:11.391 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-12-03 19:53:11.441 [info] ExtensionService#_doActivateExtension github.vscode-github-actions, startup: true, activationEvent: 'workspaceContains:**/.github/workflows/**'
2024-12-03 19:53:11.534 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2024-12-03 19:53:11.577 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-12-03 19:53:12.494 [info] Eager extensions activated
2024-12-03 19:53:12.494 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-12-03 19:53:12.497 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-12-03 19:53:12.508 [info] ExtensionService#_doActivateExtension GitHub.vscode-pull-request-github, startup: false, activationEvent: 'onStartupFinished'
2024-12-03 19:53:12.574 [info] ExtensionService#_doActivateExtension henriqueBruno.github-repository-manager, startup: false, activationEvent: 'onStartupFinished'
2024-12-03 19:53:16.390 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2024-12-03 19:53:16.400 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2024-12-03 19:53:16.410 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
